2014-07-08 19:38:55 :  UDP Server run 
2014-07-08 19:38:55 :  HeartBeat run 
2014-07-08 19:40:59 : get UDP information from192.168.1.104,CPU Usage:12 
2014-07-08 19:40:59 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:59 : get UDP information from192.168.1.103,CPU Usage:12 
2014-07-08 19:41:00 : get UDP information from192.168.1.104,CPU Usage:25 
2014-07-08 19:41:00 : get UDP information from192.168.1.105,CPU Usage:10 
2014-07-08 19:41:01 : get UDP information from192.168.1.103,CPU Usage:6 
2014-07-08 19:41:02 : get UDP information from192.168.1.104,CPU Usage:32 
2014-07-08 19:41:02 : get UDP information from192.168.1.105,CPU Usage:20 
2014-07-08 19:41:02 : get UDP information from192.168.1.103,CPU Usage:40 
2014-07-08 19:41:03 : get UDP information from192.168.1.104,CPU Usage:34 
2014-07-08 19:41:03 : get UDP information from192.168.1.105,CPU Usage:39 
2014-07-08 19:41:03 : get UDP information from192.168.1.103,CPU Usage:15 
2014-07-08 19:41:04 : get UDP information from192.168.1.104,CPU Usage:16 
2014-07-08 19:41:04 : get UDP information from192.168.1.105,CPU Usage:25 
2014-07-08 19:41:04 : get UDP information from192.168.1.103,CPU Usage:15 
2014-07-08 19:41:05 : get UDP information from192.168.1.104,CPU Usage:16 
2014-07-08 19:41:05 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:41:05 : get UDP information from192.168.1.103,CPU Usage:5 
2014-07-08 19:41:06 : get UDP information from192.168.1.104,CPU Usage:16 
2014-07-08 19:41:06 : get UDP information from192.168.1.105,CPU Usage:5 
2014-07-08 19:41:07 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:41:08 : get UDP information from192.168.1.104,CPU Usage:11 
2014-07-08 19:41:08 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:41:08 : get UDP information from192.168.1.103,CPU Usage:10 
2014-07-08 19:41:09 : get UDP information from192.168.1.104,CPU Usage:35 
2014-07-08 19:41:09 : get UDP information from192.168.1.105,CPU Usage:16 
2014-07-08 19:41:09 : get UDP information from192.168.1.103,CPU Usage:5 
2014-07-08 19:41:10 : get UDP information from192.168.1.104,CPU Usage:27 
2014-07-08 19:41:10 : get UDP information from192.168.1.105,CPU Usage:17 
2014-07-08 19:41:10 : get UDP information from192.168.1.103,CPU Usage:40 
2014-07-08 19:41:11 : get UDP information from192.168.1.104,CPU Usage:28 
2014-07-08 19:41:11 : get UDP information from192.168.1.105,CPU Usage:20 
2014-07-08 19:41:11 : get UDP information from192.168.1.103,CPU Usage:10 
